Time;Action
746222590.000000;25.000000
746222700.000000;26.000000
746222900.000000;25.000000
746222950.000000;26.000000
746223000.000000;25.000000
746223250.000000;26.000000
746223800.000000;25.000000
746223850.000000;26.000000
746224910.000000;25.000000
746225010.000000;26.000000
746230230.000000;34.000000
746230230.000000;36.000000
746233880.000000;25.000000
746234180.000000;26.000000
746275240.000000;33.000000
746458570.000000;25.000000
746458570.000000;17.000000
746458570.000000;19.000000
746458570.000000;21.000000
746458870.000000;26.000000
746459270.000000;25.000000
746460170.000000;26.000000
746461580.000000;18.000000
746461630.000000;20.000000
746461630.000000;22.000000
746462790.000000;23.000000
746462790.000000;35.000000
746462790.000000;36.000000
746463340.000000;24.000000
746463590.000000;23.000000
746463690.000000;24.000000
746463790.000000;23.000000
746463990.000000;24.000000
746464490.000000;25.000000
746466610.000000;26.000000
746466860.000000;25.000000
746467110.000000;26.000000
746467210.000000;25.000000
746467970.000000;26.000000
746468070.000000;25.000000
746469020.000000;26.000000
746469070.000000;25.000000
746469820.000000;26.000000
746470070.000000;25.000000
746470120.000000;26.000000
746470320.000000;25.000000
746470470.000000;26.000000
746471490.000000;25.000000
746471650.000000;26.000000
746472000.000000;25.000000
746472150.000000;26.000000
746483330.000000;25.000000
746483480.000000;26.000000
746484330.000000;25.000000
746484680.000000;26.000000
746484780.000000;25.000000
746484880.000000;26.000000
746485030.000000;25.000000
746485080.000000;26.000000
746486050.000000;25.000000
746486100.000000;26.000000
746486300.000000;25.000000
746486350.000000;26.000000
746486900.000000;25.000000
746487100.000000;26.000000
746487200.000000;25.000000
746487300.000000;26.000000
746487650.000000;25.000000
746487700.000000;26.000000
746487750.000000;25.000000
746487850.000000;26.000000
746487900.000000;25.000000
746488300.000000;26.000000
746519790.000000;33.000000
746681700.000000;25.000000
746681700.000000;17.000000
746681700.000000;19.000000
746681700.000000;21.000000
746681800.000000;26.000000
746686700.000000;25.000000
746687000.000000;26.000000
746687050.000000;25.000000
746687700.000000;18.000000
746687750.000000;20.000000
746687750.000000;22.000000
746689600.000000;26.000000
746689760.000000;25.000000
746690260.000000;26.000000
746717720.000000;34.000000
746717720.000000;36.000000
746849750.000000;33.000000
747008760.000000;25.000000
747008760.000000;17.000000
747008760.000000;19.000000
747008760.000000;21.000000
747008960.000000;26.000000
747009410.000000;25.000000
747009460.000000;26.000000
747013020.000000;23.000000
747013730.000000;24.000000
747013830.000000;23.000000
747013880.000000;24.000000
747013980.000000;23.000000
747014230.000000;24.000000
747014330.000000;23.000000
747014530.000000;24.000000
747014780.000000;18.000000
747014780.000000;20.000000
747014780.000000;22.000000
747015640.000000;25.000000
747016240.000000;26.000000
747016490.000000;25.000000
747016840.000000;26.000000
747017040.000000;25.000000
747017440.000000;26.000000
747017540.000000;25.000000
747017950.000000;26.000000
747020200.000000;25.000000
747022450.000000;26.000000
747022500.000000;25.000000
747024560.000000;26.000000
747024710.000000;25.000000
